Feature,Mean absolute SHAP value
num__sttl,3.0066402
num__ct_dst_sport_ltm,0.8383073
num__ct_state_ttl,0.70262456
num__sbytes,0.60487777
num__smean,0.52831423
cat__service_dns,0.46729463
num__ct_srv_dst,0.38885126
num__ct_srv_src,0.25351214
num__ct_dst_src_ltm,0.20990871
num__dbytes,0.1641711
num__ct_src_ltm,0.14429696
num__dmean,0.13834715
num__synack,0.13291496
num__dload,0.12317809
cat__proto_udp,0.116402246
num__dtcpb,0.11536115
num__sloss,0.11288672
cat__proto_unas,0.107674815
cat__service_-,0.09830402
num__sinpkt,0.09743557
num__sjit,0.09617996
num__rate,0.09163178
num__ct_dst_ltm,0.08903161
num__tcprtt,0.08412348
num__dpkts,0.08246958
num__swin,0.0776867
num__sload,0.073727846
num__dur,0.07227984
num__ct_src_dport_ltm,0.06713055
num__dloss,0.05484919
num__djit,0.05050651
num__dttl,0.049300913
num__stcpb,0.045414384
num__ackdat,0.042505596
num__trans_depth,0.042195957
num__dinpkt,0.0377618
num__spkts,0.036351826
cat__service_http,0.031351246
num__response_body_len,0.028589966
cat__state_INT,0.028557971
cat__state_CON,0.02524163
num__ct_flw_http_mthd,0.01715281
cat__proto_ospf,0.014822064
cat__proto_tcp,0.011799754
cat__proto_sctp,0.00691523
cat__service_smtp,0.0059164762
cat__service_ftp,0.004231571
cat__proto_igmp,0.0041776244
cat__service_ftp-data,0.0033820556
cat__proto_arp,0.002824098
num__is_sm_ips_ports,0.0010479959
cat__state_FIN,0.0008792058
num__is_ftp_login,0.00082881725
cat__proto_icmp,0.0006739111
cat__state_RST,0.0005887182
cat__proto_mobile,0.00052370876
cat__proto_sun-nd,0.00051384524
cat__proto_swipe,0.0003655175
cat__state_ECO,4.9206683e-05
cat__proto_sep,4.571109e-05
cat__proto_aes-sp3-d,0.0
cat__proto_any,0.0
num__dwin,0.0
num__ct_ftp_cmd,0.0
cat__proto_a/n,0.0
cat__proto_3pc,0.0
cat__proto_encap,0.0
cat__proto_emcon,0.0
cat__proto_eigrp,0.0
cat__proto_egp,0.0
cat__proto_dgp,0.0
cat__proto_ddx,0.0
cat__proto_ddp,0.0
cat__proto_dcn,0.0
cat__proto_crudp,0.0
cat__proto_crtp,0.0
cat__proto_cpnx,0.0
