Model/component,Training time (s),Full-test prediction time (s),Test observations,Throughput (observations/s)
Logistic Regression,24.963872890999937,0.05375230099980399,82332,1531692.5688502195
Random Forest,110.82925628199973,6.895324441000412,82332,11940.2648424263
XGBoost,24.679883043000245,1.2512876470000265,82332,65797.82050705265
Multiclass XGBoost,213.47072882600014,,82332,
