test_position,LIME_repeated_Top5_Jaccard
198,0.7777777777777777
227,0.611111111111111
298,0.611111111111111
544,0.611111111111111
794,0.611111111111111
826,0.611111111111111
1199,0.7777777777777777
1467,0.7777777777777777
1719,0.611111111111111
2333,0.611111111111111
2371,0.611111111111111
3191,0.611111111111111
3280,1.0
3527,0.7777777777777777
4024,0.611111111111111
4588,0.611111111111111
4641,0.611111111111111
4871,0.7777777777777777
4983,0.611111111111111
5167,0.611111111111111
5199,0.7777777777777777
5229,0.7777777777777777
5767,0.611111111111111
5788,0.611111111111111
5960,0.611111111111111
6776,0.611111111111111
6800,0.611111111111111
7055,0.611111111111111
7262,1.0
7448,0.611111111111111
