,Accuracy,Precision,Recall,F1-score,Balanced Accuracy,ROC-AUC,PR-AUC,FPR,FNR,Brier
Logistic Regression,0.8117864256911043,0.75520922434735,0.9738154063354805,0.8506927716647718,0.7935428383028753,0.9562830886123043,0.9665061654719893,0.38672972972972974,0.026184593664519546,0.11262585159520026
Random Forest,0.8704999271243259,0.8159055290301418,0.9876466954910439,0.8935991856775043,0.8573098342320085,0.9801651556921787,0.9836236564950653,0.273027027027027,0.012353304508956145,0.08253130966411322
XGBoost,0.8731963270660253,0.8215259859933652,0.9833230389129092,0.8951723029962246,0.8607966545915897,0.983598012322302,0.9879924797845991,0.26172972972972974,0.016676961087090797,0.08279516871745582
