true_class,k,mean_shap_drop,median_shap_drop,mean_random_drop,median_random_drop,SHAP_over_random_drop_ratio
0,1,-0.2852616409119306,-0.05722992426217388,-0.025967684724114575,0.0,10.985255094653311
0,3,-0.5216144144607588,-0.45925578474998474,-0.04943333869297796,-3.898749127984047e-06,10.551875075653236
0,5,-0.5610999568541518,-0.5893034744076431,-0.05494041581911612,-1.5823506146261934e-05,10.21288150969766
0,10,-0.582270707004126,-0.674936830997467,-0.16404072548887563,-0.01596677303314209,3.5495496942532876
1,1,0.0054171536456454885,0.0006786584854125977,0.0002432092572703506,0.0,22.27363261762606
1,3,0.037215955284508793,0.026694118976593018,-0.0024985062805089084,6.079673767089844e-06,-14.89528186294111
1,5,0.17883804399858821,0.15245449542999268,-0.0011939719319343568,7.76052474975586e-05,-149.78412742823215
1,10,0.14808250399249973,0.13877642154693604,0.0005795226404161165,0.0006371140480041504,255.52496773235913
